id,product_id,quantity,reserved_quantity,location,min_stock_level,last_updated,created_at,updated_at
40fbc2f0-2f58-44c4-b6bf-b7a3047f67b0,d37f3cf1-b724-48f2-82d9-7d0ec24e5dde,0,0,온라인,0,2025-10-08 15:44:25.869551+00,2025-10-08 15:44:25.869551+00,2025-10-08 15:44:25.869551+00
7c9db01b-ce68-4ca9-8907-c5ce747a23b4,e8adba6d-1746-4f86-b2bf-5c0d84338951,0,0,온라인,0,2025-10-08 15:13:00.851636+00,2025-10-08 15:13:00.851636+00,2025-10-08 15:13:00.851636+00
f56ada33-5b12-42d9-8a1c-e512fbfed3b0,a3431b42-fdee-4bd5-ab85-56ae8bfa0d08,0,0,온라인,0,2025-10-08 15:13:00.850637+00,2025-10-08 15:13:00.850637+00,2025-10-08 15:13:00.850637+00
52d9ddac-d9f3-4e65-93cd-0af50b429a31,e2e64afb-b18a-4de5-8888-64a850e25869,0,0,온라인,0,2025-10-08 15:13:00.846118+00,2025-10-08 15:13:00.846118+00,2025-10-08 15:13:00.846118+00
e5ea816e-c384-4861-825e-b6d702300cfc,63e179f1-53b0-409a-a198-fe24f3afbade,0,0,온라인,0,2025-10-08 15:13:00.84311+00,2025-10-08 15:13:00.84311+00,2025-10-08 15:13:00.84311+00
942ac6ba-b84b-4905-8722-501a6fa497bd,2eda99fd-d4b6-4d76-8bd5-7073d6424030,0,0,온라인,0,2025-10-08 15:13:00.839602+00,2025-10-08 15:13:00.839602+00,2025-10-08 15:13:00.839602+00
21a8f893-b96c-453f-995f-11308ea2f9f0,4cc084cd-38b0-454b-90e4-095e73e2b844,0,0,온라인,0,2025-10-08 15:13:00.836601+00,2025-10-08 15:13:00.836601+00,2025-10-08 15:13:00.836601+00
a4817910-dfb5-45d4-8c14-5d9b17571fa3,6aca76bc-9a74-44da-bc16-151b982c10d2,0,0,온라인,0,2025-10-08 15:13:00.832594+00,2025-10-08 15:13:00.832594+00,2025-10-08 15:13:00.832594+00
5828395f-d8ba-4e51-a6a6-4ccd499f457f,5d629749-6386-4ad0-9063-1f725f35b68e,0,0,온라인,0,2025-10-08 15:13:00.82909+00,2025-10-08 15:13:00.82909+00,2025-10-08 15:13:00.82909+00
ceabbc4a-8b5e-4d32-b546-9f418b490bfa,0fae62a8-dd70-4ad5-b97c-404827f3a252,0,0,온라인,0,2025-10-08 15:13:00.826089+00,2025-10-08 15:13:00.826089+00,2025-10-08 15:13:00.826089+00
2a51136f-7e22-40f7-ade2-dddc0001a2d2,64e1cf91-9a4e-4c9f-9057-0f8226b98c0b,0,0,온라인,0,2025-10-08 15:13:00.82309+00,2025-10-08 15:13:00.82309+00,2025-10-08 15:13:00.82309+00
853aec27-592a-4314-8a7a-2b81feff25ab,e7e31583-76e7-4258-9d11-e6b729a73015,0,0,온라인,0,2025-10-08 15:13:00.819579+00,2025-10-08 15:13:00.819579+00,2025-10-08 15:13:00.819579+00
5871da1b-4481-405f-a2e5-1d23d7f43f1d,02f51482-295a-4876-bda0-bc48a625d8d2,0,0,온라인,0,2025-10-08 15:13:00.816578+00,2025-10-08 15:13:00.816578+00,2025-10-08 15:13:00.816578+00
f2c876a8-076d-4b0d-b1ea-a1606dd17fcf,5de3567c-4e0a-4414-a73d-005d8af1e974,0,0,온라인,0,2025-10-08 15:13:00.81358+00,2025-10-08 15:13:00.81358+00,2025-10-08 15:13:00.81358+00
